regular_wages,overtime_wages,other_wages
135217.8,27886.55,17019.76
36203.29,37.58,143871.63
175793.87,0,4288.74
179983.53,0,0
91395.92,32932.16,55587.27
174555.92,0,5290
149125.44,789.69,29882.59
158396.21,16906.16,4472.53
175439.04,0,4290
117814.6,61838.04,0
171541.92,0,8101.7
172639.75,0,7000
80845.52,92216.69,6562.79
15689.64,0,163913.99
179588.8,0,0
149125.44,3302.34,27064.83
179481.92,0,0
161281.54,0,18172
174970.33,0,4427.96
172245.12,0,7146
167325.83,12014.1,0
172125.44,0,7174.85
178227.84,0,1030
151029.48,3462.26,24761.97
132785.25,0,46466.12
179229.26,0,0
178227.85,0,1000
166159.04,0,13000
179139.43,0,0
172639.74,3163.94,3324.4
101077.12,60001.94,17977.42
172639.68,6384.14,0
154041.44,10566.81,14415.25
158709.87,20287.4,0
149125.44,0,29864.64
174779.53,0,4140
178881.46,0,0
178850.82,0,0
58758.3,0,120050.69
178704.71,0,0
178704.65,0,0
178691.87,0,0
167253.13,11419.65,0
178658.86,0,0
178641.69,0,0
173783.04,0,4746.96
178483.07,0,0
177956.87,0,500
174262.4,0,4189
174262.4,0,4189
174262.4,0,4189
172447.2,0,5821.05
178227.9,0,0
178227.85,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
178227.84,0,0
172245.12,0,5960
178182.91,0,0
178172.8,0,0
178172.8,0,0
178172.8,0,0
178071.04,0,0
170181.69,7817.25,0
177949.85,0,42.8
177992.65,0,0
177992.64,0,0
172245.12,0,5660.5
173700.8,0,4175.5
173700.8,0,4175.5
173700.8,0,4175.5
173680,0,4175
173680,0,4175
173680,0,4175
173680,0,4175
173809.52,0,4044.45
110486.8,0,67324.76
173624,0,4181.5
139009.28,0,38786.16
177735.48,0,0
173680,0,4049.75
115905.97,47020.75,14729.85
115609.8,62019.8,0
176909.54,0,681.83
114897.89,38073.89,24609.16
139009.28,200.76,38348.72
177541.44,0,0
92312.32,83164.83,2034.24
164276.01,10635.64,2592.43
172805.02,0,4657.48
177417.32,0,0
177417.29,0,0
177417.28,0,0
177417.28,0,0
177417.28,0,0
177417.28,0,0
177417.28,0,0
173079.84,0,4290
105987.2,67809.87,3560.04
177349.41,0,0
173195.2,0,4122.5
172245.12,0,5000
173032.72,0,4175.5
169877.44,0,7324.5
166129.44,0,11070.98
137882.98,18895.55,20411.87
170618.24,3717.34,2851.93
177098.01,0,0
177072.6,0,0
148120.55,6151,22799.22
106862.73,70063.27,0
140070.24,18453.01,18400
152126.24,0,24761.97
172886.09,0,3980.5
129436.63,23300.47,24122
176820.16,0,0
172176.57,0,4641.22
176815.44,0,0
138975.82,0,37751.1
152306.05,22742.63,1650
176654.44,0,0
176654.41,0,0
176654.4,0,0
176654.4,0,0
176654.4,0,0
176209.25,0,390.74
61635.57,82257.32,32680.53
176539.43,0,0
141493.76,18054.28,16979.54
171839.78,0,4629.4
176454.43,0,0
172245.12,0,4146
172245.12,0,4146
172245.12,0,4146
172245.12,0,4146
172245.12,0,4146
172245.12,0,4146
172245.12,0,4146
172245.12,0,4146
172388.43,0,3999.5
172731.36,3630.2,0
172480.2,0,3848.38
125133.44,0,51100.88
176160.4,0,0
176155.58,0,0
172624.41,0,3500
171606.52,0,4447.9
171390.6,0,4620.03
173509.68,0,2500
139009.28,0,36975.91
172639.71,0,3324.4
175919.84,0,0
172245.12,0,3664
175855.7,0,0
172473.46,0,3324.4
165057.78,0,10727.33
171544.04,0,4205.5
175700.43,0,0
171032.1,0,4611.04
171491.21,0,4130.26
115562.4,59134.49,900
168286.43,0,7304.88
125133.44,0,50424.48
175549.22,0,0
123287.04,0,52219.75
171395.84,0,4108
175485.44,0,0
175436.16,0,0
161567.27,13849.02,0
175407.1,0,0
52477.91,2383.74,120525.5
175377.56,0,0
173302.52,0,2000
175298.88,0,0
158852.64,4906.77,11491.3
172245.12,0,3000
175208.77,0,0
170233.66,0,4916.4
170233.6,0,4916.4
170233.6,0,4916.4
170233.6,0,4916.4
157258.24,17813.91,0
142338,32733.2,0
163788.49,786.41,10437.3
171729.32,0,3275.15
166383.84,0,8550.85
170587.18,3462.25,869.3
174916.08,0,0
174820.8,0,0
105102.2,29938.3,39733.91
172189.12,0,2479
149125.44,0,25476.31
139009.28,0,35495.3
138140.2,26386.29,9964.79
171802.75,0,2594.64
170233.6,0,4097
170233.6,0,4097
171075.15,0,3243.3
125133.44,0,49170.9
174262.4,0,0
174262.4,0,0
174262.4,0,0
174262.4,0,0
174262.4,0,0
151409.26,7817.24,14985.01
172245.12,0,1950
110318.32,53669.08,10200.34
166789.17,1049.72,6324.4
172245.12,0,1658.4
169316.76,0,4564.78
173836.04,0,0
173836.03,0,0
173836.02,0,0
173836.02,0,0
173836.01,0,0
173836,0,0
173836,0,0
144725,28662.23,436.79
173803.93,0,0
153698.21,8024.3,12078.92
164266.41,0,9495.11
169699.84,0,4045
169585.92,0,4146
173700.82,0,0
173700.8,0,0
173700.8,0,0
173700.8,0,0
173680,0,0
173680,0,0
173680,0,0
173680,0,0
170391.54,0,3281.73
173643.7,0,0
173640.97,0,0
173058.27,0,500
169357.9,0,4098.5
91292.48,79984.32,2164.35
173434.72,0,0
127035.55,30794.32,15381.85
169389.76,0,3727
118699.77,3613.84,50778.73
148263.15,17320.92,7473.24
173032.77,0,0
168483.32,0,4542.83
166002.25,0,6992.5
139125.82,0,33853.26
131112.37,20302.99,21528.28
165923.88,0,6999.5
172917.74,0,0
139283.59,17170.06,16460.8
139009.28,0,33892.23
168680.64,0,4135.5
168680.64,0,4135.5
145492.11,24226.5,3028.31
168580.65,0,4146
142126.08,22178.06,8362.64
141286.33,14083.05,17288.54
172654.06,0,0
172646.9,0,0
172646.85,0,0
172639.72,0,0
172639.71,0,0
172639.68,0,0
172639.68,0,0
172626.34,0,0
156647.04,4502.29,11460.72
155892.69,10095.55,6591.8
172564.84,0,0
121505.21,0,51056.93
58204.16,99956.12,14400.07
113372.44,11038.28,48088.17
165040.08,7434.68,0
172451.67,0,0
142382.16,0,30048.48
172368.99,0,0
125133.44,0,47228.16
167801.32,0,4523.89
172322.17,0,0
168272,0,4045
172300.81,0,0
172300.81,0,0
168251.2,0,4044.5
172245.13,0,0
172245.13,0,0
172245.12,0,0
172245.12,0,0
172245.12,0,0
172245.12,0,0
172245.12,0,0
172245.12,0,0
172245.12,0,0
172245.12,0,0
172245.12,0,0
172245.12,0,0
172232.73,0,0
172184.56,0,0
168080.64,0,4048
169128.01,0,3000
168680.66,0,3298
112588.9,57658.51,1729.73
167445.47,0,4514.33
94274.49,17388.05,60254.48
171870.64,0,0
143566.45,4002.24,24271.4
110146.84,61669.15,0
139009.28,0,32750.82
167899.29,0,3838.5
171678.43,0,0
102548.95,62020.79,7062.18
171593.6,0,0
171581.77,0,0
125133.44,0,46360.24
170400.32,0,1000
125133.44,0,46244.94
171323.87,0,0
153677.23,12135.04,5502.54
171266.81,0,0
171266.81,0,0
166819.91,0,4387.57
139965.52,22380.67,8851.6
126747.84,0,44328.57
122018.75,30072.7,18969.89
166002.24,0,4999.75
147002.62,10178.82,13794.73
170955.2,0,0
139238.46,23559.92,8132.96
169753.93,0,1000
166875.33,0,3855.58
166281.29,0,4270.5
137798.87,18155.45,14508.4
139009.28,0,31405.77
139082,0,31251.64
170244.24,0,0
170233.63,0,0
170233.62,0,0
170233.62,0,0
170233.61,0,0
170233.61,0,0
170233.61,0,0
170233.61,0,0
170233.61,0,0
170233.61,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
170233.6,0,0
118153.58,32552.28,19518.68
166159.08,0,3999.5
166159.06,0,3999.5
166159.05,0,3999.5
166159.04,0,3999.5
166159.04,0,3999.5
166159.04,0,3999.5
166159.04,0,3999.5
156630.14,13524.93,0
159137.6,0,11000
166125.45,0,3999.5
170092.82,0,0
143434.88,23377.21,3277.02
169495.18,0,585.58
167808.87,0,2250
166002.26,0,3999.5
166002.24,0,3999.5
166002.24,0,3999.5
169995.37,0,0
166002.3,0,3992.5
166002.24,0,3992.5
131553.43,34074.57,4317.68
165923.84,0,3989
137508.86,27277.27,5124.91
169894.4,0,0
164538.44,0,5325.46
58418.64,99408.63,11997.95
98536.36,0,71187.42
162908.37,5256.33,1550
165700.48,0,3979
169641.28,0,0
169638.42,0,0
165369.34,159.22,3980.5
113902.24,47846.52,7687
138989.12,3785.64,26609.07
168344.48,0,1030
169371.68,0,0
165372.91,0,3980.5
165369.38,0,3980.5
165369.3,0,3980.5
165369.29,0,3980.5
