OPEID,name,city,state,region,median_debt,default_rate,highest_degree,ownership,locale,hbcu,admit_rate,SAT_avg,online_only,enrollment,net_price,avg_cost,net_tuition,ed_spending_per_student,avg_faculty_salary,pct_PELL,pct_fed_loan,grad_rate,pct_firstgen,med_fam_income,med_alum_earnings
464100,Dunwoody College of Technology,Minneapolis,MN,Midwest,12.0,8.5,Bachelors,Private nonprofit,Large City,No,97.38,,No,1274,27.1,31.769,22.656,14.789,5.969,31.59,80.34,49.19,28.2194849,34.1965,54.095
525200,Ridgewater College,Willmar,MN,Midwest,8.75,8.2,Associates,Public,Town,No,,,No,2488,11.436,15.652,4.022,9.155,8.133,35.55,33.39,44.4,31.4385151,37.5335,39.349
239300,Minnesota State College Southeast,Winona,MN,Midwest,9.5,7.3,Associates,Public,Town,No,,,No,1124,13.063,17.668,3.906,8.376,8.384,24.04,28.29,37.99,34.5211581,32.21,40.045
239400,Winona State University,Winona,MN,Midwest,15.114,2.7,Graduate,Public,Town,No,75.18,1118.0,No,6249,17.634,22.003,6.316,8.524,9.392,26.17,58.76,60.77,21.1745514,74.955,51.346
1054600,Century College,White Bear Lake,MN,Midwest,9.5,7.8,Associates,Public,Suburb,No,,,No,6815,10.397,14.626,3.329,6.114,8.577,35.5,26.47,21.82,34.4372892,29.622,43.353
3129100,Fond du Lac Tribal and Community College,Cloquet,MN,Midwest,9.966,16.3,Associates,Public,Town,No,,,No,454,10.19,16.024,2.214,7.024,8.068,21.63,18.52,20.83,39.8916968,19.214,38.616
3267300,Capella University,Minneapolis,MN,Midwest,9.435,5.2,Graduate,Prviate for-profit,Large City,No,,,Yes,11773,16.545,21.167,14.697,2.388,7.179,40.52,39.89,0.0,49.6697334,31.525,59.307
2097300,Hastings Beauty School,Hastings,MN,Midwest,9.377,3.0,Certificate,Prviate for-profit,Town,No,,,No,14,14.708,17.211,10.264,9.346,,45.83,58.33,80.65,,43.978,
2160901,PCI Academy-Plymouth,Plymouth,MN,Midwest,5.827,4.0,Certificate,Prviate for-profit,Small City,No,,,No,106,9.242,14.337,12.794,6.791,,6.82,12.5,81.82,33.3333333,38.753,32.787
4130200,Institute of Production and Recording,Minneapolis,MN,Midwest,9.5,10.9,Bachelors,Prviate for-profit,Large City,No,,,No,128,23.892,29.783,23.422,5.537,4.191,35.29,59.89,64.91,22.3463687,42.8,39.812
945912,Empire Beauty School-Spring Lake Park,Spring Lake Park,MN,Midwest,8.973,13.7,Certificate,Prviate for-profit,Suburb,No,,,No,79,15.906,19.988,9.546,8.8,,53.13,46.88,48.65,55.2452316,14.091,24.578
396903,University of Minnesota-Rochester,Rochester,MN,Midwest,16.75,1.7,Bachelors,Public,Small City,No,73.75,1152.0,No,614,15.636,25.495,14.281,5.95,6.875,35.49,54.2,54.46,18.6560199,76.0285,61.201
4157600,Nova Academy of Cosmetology,Rochester,MN,Midwest,7.817,17.8,Certificate,Prviate for-profit,Small City,No,,,No,130,17.009,20.09,9.112,4.656,,49.44,73.6,72.55,31.3559322,28.358,
4227800,Bethany Global University,Bloomington,MN,Midwest,10.924,4.7,Graduate,Private nonprofit,Small City,No,86.59,,No,313,21.18,27.284,3.831,3.993,4.941,44.58,48.92,55.56,21.8390805,43.704,
